index,title,release_date,vote_average
2817,The Doors,1991-03-01,7.1
2818,The Transformers: The Movie,1986-08-08,7.12
2819,Reality,2012-05-04,7.1
2820,I'm Not Scared,2003-02-08,7.1
2821,Lady and the Tramp,1955-06-22,7.118
2822,Shooter,2007-03-22,7.118
2823,Pi,1998-07-10,7.119
2824,The Guardians of the Galaxy Holiday Special,2022-11-24,7.117
2825,The Master,2012-09-14,7.118
2826,Remember Me,2010-03-11,7.118
2827,Hustle & Flow,2005-07-22,7.118
2828,A Star Is Born,1954-10-01,7.1
2829,American Underdog,2021-12-25,7.1
2830,As the Gods Will,2014-11-15,7.117
2831,Heartbeats,2010-09-29,7.117
2832,In a Better World,2010-08-26,7.117
2833,Barefoot in the Park,1967-05-25,7.1
2834,Terms of Endearment,1983-11-20,7.117
2835,Magnum Force,1973-12-13,7.117
2836,Drugstore Cowboy,1989-10-20,7.117
2837,High Fidelity,2000-03-17,7.117
2838,Ophelia,2019-06-28,7.116
2839,Ruby Sparks,2012-07-25,7.1
2840,The Way,2010-09-10,7.118
2841,Creed III,2023-03-01,7.115
2842,Devotion,2022-11-23,7.115
2843,Lamp Life,2020-01-31,7.1
2844,Mary and The Witch's Flower,2017-07-08,7.1
2845,The Dark Crystal,1982-12-17,7.115
2846,Where the Heart Is,2000-04-27,7.115
2847,Death and the Maiden,1994-05-04,7.1
2848,Chicago,2002-12-10,7.115
2849,The Emperor's Club,2002-11-22,7.1
2850,The Lodger: A Story of the London Fog,1927-02-14,7.1
2851,The Siege of Jadotville,2016-09-19,7.113
2852,Black Dynamite,2009-10-16,7.113
2853,Love Tactics,2022-02-11,7.112
2854,Sing,2016-11-23,7.112
2855,Justice League: Gods and Monsters,2015-06-18,7.112
2856,Sapphire Blue,2014-08-14,7.1
2857,Chef,2014-05-08,7.112
2858,Calvary,2014-04-11,7.112
2859,Five Easy Pieces,1970-09-12,7.112
2860,Before the Devil Knows You're Dead,2007-09-26,7.112
2861,Moana 2,2024-11-21,7.109
2862,The Lion King,2019-07-12,7.111
2863,Strange Magic,2015-01-23,7.1
2864,St. Vincent,2014-10-09,7.1
2865,The Big Boss,1971-10-23,7.111
2866,Two Brothers,2004-04-07,7.1
2867,Finding Forrester,2000-12-21,7.1
2868,Ariel,1988-10-21,7.111
2869,Anomalisa,2015-12-30,7.111
2870,What's Love Got to Do with It,1993-06-09,7.1
2871,OSS 117: Lost in Rio,2009-04-15,7.11
2872,Bitter Moon,1992-09-02,7.11
2873,United 93,2006-04-28,7.112
2874,SLC Punk,1998-09-24,7.1
2875,Fear Street: 1666,2021-07-14,7.109
2876,The Invisible Man,2020-02-26,7.109
2877,Paterson,2016-11-17,7.109
2878,The Hunchback of Notre Dame,1996-06-21,7.109
2879,Wallace & Gromit: The Curse of the Were-Rabbit,2005-09-15,7.109
2880,Vicky and Her Mystery,2021-12-15,7.1
2881,Suicide Squad: Hell to Pay,2018-03-23,7.1
2882,The Disaster Artist,2017-03-12,7.107
2883,Show Me Love,1998-10-23,7.108
2884,Who Am I?,1998-01-17,7.108
2885,Love Actually,2003-09-07,7.1
2886,NYAD,2023-10-18,7.107
2887,Toc Toc,2017-09-01,7.1
2888,Paprika,1991-02-13,7.1
2889,Little White Lies,2010-10-20,7.107
2890,The First King,2019-01-31,7.1
2891,Snowden,2016-09-15,7.105
2892,Mickey's Once Upon a Christmas,1999-10-31,7.1
2893,Boy A,2007-10-28,7.1
2894,Immortal Beloved,1994-12-16,7.1
2895,Life As A House,2001-10-25,7.105
2896,Take the Money and Run,1969-08-18,7.1
2897,National Lampoon's Vacation,1983-07-29,7.104
2898,Fahrenheit 451,1966-09-07,7.104
2899,The Goddess of Fortune,2019-12-19,7.1
2900,Planet Hulk,2010-02-02,7.103
2901,One Piece: The Movie,2000-03-04,7.103
2902,Lords of Dogtown,2005-06-03,7.1
2903,Constantine,2005-02-08,7.103
2904,The Realm,2018-09-28,7.1
2905,A Ghost Story,2017-04-24,7.101
2906,What Maisie Knew,2013-05-02,7.1
2907,Paddington,2014-11-24,7.101
2908,Pinocchio,1940-02-23,7.101
2909,The Poseidon Adventure,1972-12-01,7.101
2910,Brother,2000-12-13,7.101
2911,TÁR,2022-09-23,7.1
2912,Naruto Shippuden the Movie: The Lost Tower,2010-07-31,7.1
2913,The Son's Room,2001-03-09,7.1
2914,The Taming of the Scoundrel,1980-12-20,7.1
2915,Notes on a Scandal,2006-12-25,7.1
2916,The Outfit,2022-02-25,7.099
2917,Starred Up,2014-03-21,7.1
2918,Thirst,2009-04-30,7.099
2919,To Live and Die in L.A.,1985-11-01,7.097
2920,Sideways,2004-10-22,7.099
2921,Field of Dreams,1989-04-21,7.099
2922,Frenzy,1972-05-25,7.099
2923,Gia,1998-01-31,7.1
2924,The Negotiator,1998-07-29,7.098
2925,The Getaway,1972-12-13,7.098
2926,Zabriskie Point,1970-03-26,7.1
2927,Godzilla x Kong: The New Empire,2024-03-27,7.1
2928,Maze Runner: The Death Cure,2018-01-10,7.097
2929,Aladdin,2019-05-22,7.096
2930,The Accountant,2016-10-13,7.096
2931,La Femme Nikita,1990-02-21,7.096
2932,Mamma Mia! Here We Go Again,2018-07-18,7.095
2933,Tokyo Ghoul,2017-07-16,7.095
2934,Scooby-Doo and the Alien Invaders,2000-10-03,7.1
2935,The Alamo,1960-10-23,7.095
2936,Bullets Over Broadway,1994-10-14,7.1
2937,Witness,1985-02-08,7.1
2938,Top Secret!,1984-06-08,7.093
2939,The Forgotten Battle,2020-12-14,7.09
2940,Concussion,2015-11-12,7.093
2941,Mission: Impossible - Ghost Protocol,2011-12-07,7.093
2942,The Producers,1968-03-18,7.1
2943,A Tale of Two Sisters,2003-06-13,7.093
2944,The Exorcism of God,2022-03-11,7.092
2945,Beanpole,2019-06-20,7.092
2946,Adam's Rib,1949-11-18,7.1
2947,Angst,1983-01-01,7.092
2948,Sissi: The Young Empress,1956-12-01,7.1
2949,A Hard Day,2014-05-29,7.097
2950,Gangs of Wasseypur - Part 1,2012-06-22,7.1
2951,Lorenzo's Oil,1992-12-30,7.1
2952,The Holiday,2006-12-05,7.092
2953,The Taste of Things,2023-11-08,7.1
2954,A Writer's Odyssey,2021-02-12,7.1
2955,The Half of It,2020-05-01,7.1
2956,Once Upon a Deadpool,2018-12-11,7.09
2957,Superman: Man of Tomorrow,2020-08-23,7.089
2958,Salyut-7,2017-09-22,7.1
2959,Cross of Iron,1977-01-29,7.089
2960,Kingdom: Ashin of the North,2021-07-23,7.1
2961,IF,2024-05-08,7.089
2962,The Tale,2018-01-20,7.1
2963,Maleficent,2014-05-28,7.088
2964,The Professionals,1966-11-01,7.1
2965,Whatever Works,2009-06-19,7.1
2966,Miracle,2004-02-06,7.1
2967,Love & Mercy,2015-05-29,7.087
2968,Akeelah and the Bee,2006-04-28,7.087
2969,El Topo,1970-12-18,7.1
2970,Read My Lips,2001-10-17,7.087
2971,Creation of the Gods I: Kingdom of Storms,2023-07-15,7.1
2972,Wonka,2023-12-06,7.1
2973,The Man from U.N.C.L.E.,2015-08-13,7.086
2974,I Confess,1953-02-13,7.1
2975,Quo Vadis,1951-11-08,7.1
2976,Peter Rabbit 2: The Runaway,2021-03-25,7.1
2977,Children of the Sea,2019-06-07,7.084
2978,Breathe,2014-11-12,7.1
2979,The Next Three Days,2010-11-18,7.083
2980,Bullhead,2011-02-02,7.083
2981,Om Shanti Om,2007-11-07,7.083
2982,Rang De Basanti,2006-01-26,7.1
2983,Garden State,2004-07-28,7.083
2984,Companion,2025-01-22,7.1
2985,Kingdom of the Planet of the Apes,2024-05-08,7.082
2986,Trash,2014-10-09,7.082
2987,Ashes of Time,1994-09-17,7.082
2988,The Phantom of the Opera,1925-09-22,7.082
2989,Reality,2015-02-18,7.1
2990,127 Hours,2010-11-12,7.081
2991,High Heels,1991-10-23,7.1
2992,Theorem,1968-09-07,7.1
2993,School of Rock,2003-10-03,7.081
2994,The Lost Boys,1987-07-31,7.081
2995,The Life Aquatic with Steve Zissou,2004-12-10,7.081
2996,Contempt,1963-10-29,7.1
2997,22 July,2018-10-04,7.08
2998,Little Children,2006-10-06,7.079
2999,The Ministry of Ungentlemanly Warfare,2024-04-18,7.078
3000,Honey Boy,2019-09-28,7.079
3001,An Officer and a Spy,2019-09-30,7.1
3002,Keith,2008-09-13,7.079
3003,Bring Me the Head of Alfredo Garcia,1974-08-01,7.1
3004,Mean Streets,1973-10-14,7.078
3005,Yannick,2023-08-02,7.077
3006,True Lies,1994-07-15,7.077
3007,Godzilla: Final Wars,2004-12-04,7.086
3008,Rocky IV,1985-11-21,7.077
3009,Pokémon the Movie: I Choose You!,2017-07-15,7.076
3010,Blue Is the Warmest Color,2013-10-09,7.1
3011,Crows Zero,2007-10-26,7.076
3012,Searching for Bobby Fischer,1993-08-13,7.076
3013,Ghost World,2001-07-20,7.076
3014,Starship Troopers,1997-11-07,7.076
3015,Heretic,2024-10-31,7.075
3016,The Mad Women's Ball,2021-09-12,7.1
3017,The Light Between Oceans,2016-09-02,7.1
3018,Remember Sunday,2013-04-21,7.1
3019,Don't Look Up,2021-12-08,7.074
3020,"The Legend of Al, John and Jack",2002-12-13,7.1
3021,"Good Night, and Good Luck.",2005-09-16,7.074
3022,Dogtooth,2009-10-22,7.073
3023,if....,1968-12-19,7.1
3024,The Haunting,1963-08-21,7.073
3025,Dirty Rotten Scoundrels,1988-12-14,7.073
3026,Intolerance: Love's Struggle Throughout the Ages,1916-09-04,7.1
3027,WarGames,1983-06-03,7.072
3028,A Good Person,2023-03-23,7.1
3029,Hotel Transylvania: Transformania,2022-01-31,7.072
3030,White Oleander,2002-10-11,7.1
3031,I Hate Summer,2020-01-30,7.1
3032,Space Sweepers,2021-02-05,7.071
3033,The Brutalist,2024-12-20,7.1
3034,Ant-Man,2015-07-14,7.071
3035,Phineas and Ferb The Movie: Across the 2nd Dimension,2011-08-05,7.071
3036,...And Justice for All,1979-10-19,7.1
3037,Batman: Death in the Family,2020-10-13,7.1
3038,The Leisure Seeker,2018-01-03,7.07
3039,The Punisher: Dirty Laundry,2012-07-16,7.07
3040,The Bear,1988-10-21,7.1
3041,Traffic,2000-12-27,7.069
3042,Kung Fu Panda 4,2024-03-02,7.1
3043,The Hudsucker Proxy,1994-03-11,7.069
3044,The Lovely Bones,2009-12-26,7.069
3045,November,2022-10-05,7.065
3046,Belfast,2021-11-12,7.068
3047,The Garfield Movie,2024-04-30,7.1
3048,Wizards of Waverly Place: The Movie,2009-08-28,7.068
3049,The Barbarian Invasions,2003-09-24,7.1
3050,Black Panther: Wakanda Forever,2022-11-09,7.067
3051,Barbie in A Mermaid Tale 2,2012-02-22,7.1
3052,Sleep Tight,2011-10-14,7.067
3053,The Kid with a Bike,2011-05-18,7.067
3054,The Woman Next Door,1981-09-30,7.1
3055,Pump Up the Volume,1990-08-22,7.067
3056,The Cider House Rules,1999-12-17,7.067
3057,Easy Rider,1969-06-26,7.067
3058,The Angry Birds Movie 2,2019-08-02,7.1
3059,The Innocents,2016-02-10,7.1
3060,Pirates of Silicon Valley,1999-05-10,7.07
3061,Bud Abbott and Lou Costello Meet Frankenstein,1948-06-15,7.066
3062,Two Distant Strangers,2020-11-20,7.065
3063,Triangle of Sadness,2022-09-18,7.065
3064,Beau Travail,2000-05-03,7.065
3065,Tess,1979-10-06,7.1
3066,Armour of God,1986-08-16,7.065
3067,First Cow,2020-03-06,7.1
3068,Dope,2015-06-19,7.064
3069,The Gods Must Be Crazy II,1989-07-01,7.064
3070,From Russia with Love,1963-10-10,7.064
3071,Crazy Rich Asians,2018-08-15,7.063
3072,The Space Between Us,2017-01-26,7.1
3073,The Great Race,1965-07-01,7.06
3074,Ring,1998-01-31,7.063
3075,Elephant,2003-09-20,7.1
3076,Natural Born Killers,1994-08-26,7.063
3077,The Dark Valley,2014-02-13,7.1
3078,High Strung,2016-04-08,7.061
3079,Jappeloup,2013-03-13,7.1
3080,Lawless,2012-08-29,7.061
3081,The Creator,2023-09-27,7.06
3082,Climax,2018-09-19,7.1
3083,Ace of Aces,1982-10-27,7.06
3084,Death Note,2006-06-17,7.1
3085,Brubaker,1980-06-20,7.059
3086,Galaxy Quest,1999-12-25,7.06
3087,Red One,2024-10-31,7.06
3088,The Wife,2018-08-02,7.1
3089,Pieta,2012-09-06,7.059
3090,Conviction,2010-10-15,7.1
3091,You Don't Know Jack,2010-06-27,7.1
3092,The Postman Always Rings Twice,1946-05-02,7.1
3093,Jesus Christ Superstar,1973-08-15,7.1
3094,Kill Your Darlings,2013-10-16,7.1
3095,But I'm a Cheerleader,2000-07-07,7.058
3096,Escape from New York,1981-05-23,7.058
3097,A Brighter Tomorrow,2023-04-20,7.1
3098,Mud,2013-04-26,7.057
3099,The Thirteenth Floor,1999-04-16,7.057
3100,Caché,2005-10-05,7.058
3101,Rakka,2017-06-14,7.056
3102,Patriots Day,2016-12-12,7.056
3103,The King's Daughter,2022-01-21,7.1
3104,The Girl Who Kicked the Hornet's Nest,2009-11-27,7.056
3105,Seabiscuit,2003-07-22,7.056
3106,Whale Rider,2003-01-30,7.1
3107,Top Gun,1986-05-16,7.056
3108,The Matrix Reloaded,2003-05-15,7.056
3109,Anora,2024-10-14,7.055
3110,The Willoughbys,2020-04-22,7.055
3111,Legend,2015-09-09,7.055
3112,The King and I,1956-06-29,7.055
3113,The Seven Year Itch,1955-06-03,7.055
3114,Transamerica,2005-02-14,7.055
3115,My Own Private Idaho,1991-02-01,7.055
3116,Raising Arizona,1987-03-13,7.055
3117,Bones and All,2022-11-18,7.054
3118,F9,2021-05-19,7.054
3119,The Keeper of Lost Causes,2013-10-03,7.054
3120,Enemy of the State,1998-11-20,7.053
3121,Dawn of the Dead,2004-03-19,7.054
3122,Live Flesh,1997-10-10,7.1
3123,Raw,2016-11-11,7.1
3124,Disconnect,2013-04-12,7.053
3125,High Sierra,1941-01-23,7.1
3126,Gallipoli,1981-08-13,7.1
3127,Juno,2007-12-05,7.052
3128,Re-Animator,1985-10-18,7.1
3129,Glass Onion: A Knives Out Mystery,2022-11-23,7.051
3130,Despicable Me 4,2024-06-20,7.1
3131,It Ends with Us,2024-08-07,7.05
3132,PAW Patrol: The Mighty Movie,2023-09-21,7.05
3133,M3GAN,2022-12-28,7.05
3134,Gridiron Gang,2006-09-15,7.05
3135,Stomp the Yard,2007-05-16,7.05
3136,The Northman,2022-04-07,7.049
3137,Fast X,2023-05-17,7.0
3138,Son of Batman,2014-05-13,7.049
3139,The Beguiled,1971-01-23,7.0
3140,Moby Dick,1956-06-27,7.0
3141,Hoosiers,1986-11-14,7.049
3142,The Addams Family,1991-11-22,7.049
3143,Real Steel,2011-09-28,7.048
3144,Naruto the Movie: Guardians of the Crescent Moon Kingdom,2006-08-05,7.054
3145,The Shootist,1976-07-21,7.0
3146,7 Prisoners,2021-10-22,7.047
3147,Don't Breathe 2,2021-08-12,7.047
3148,Handsome Devil,2017-02-15,7.047
3149,Scarecrow,1973-04-11,7.0
3150,The Courier,2020-01-24,7.046
3151,Reign of the Supermen,2019-01-13,7.046
3152,Goodbye Christopher Robin,2017-09-29,7.0
3153,The Nightingale,2018-09-23,7.046
3154,Love & Other Drugs,2010-11-04,7.046
3155,The Vikings,1958-06-11,7.0
3156,Superman/Batman: Public Enemies,2009-09-29,7.046
3157,Death Note: The Last Name,2006-10-28,7.0
3158,Superman/Shazam!: The Return of Black Adam,2010-11-16,7.0
3159,Day of the Dead,1985-07-03,7.045
3160,And Then There Were None,1945-10-31,7.0
3161,The Other Zoey,2023-10-19,7.044
3162,A Princess for Christmas,2011-12-03,7.0
3163,Equilibrium,2002-12-06,7.044
3164,A.I. Artificial Intelligence,2001-06-29,7.044
3165,Beetlejuice Beetlejuice,2024-09-04,7.043
3166,Cinderella,1950-02-22,7.042
3167,The Andromeda Strain,1971-03-12,7.043
3168,The Three Burials of Melquiades Estrada,2005-11-17,7.043
3169,Rush Hour,1998-09-18,7.043
3170,The Lobster,2015-10-15,7.042
3171,The Great Mouse Detective,1986-07-02,7.0
3172,Charlie and the Chocolate Factory,2005-07-13,7.042
3173,The School for Good and Evil,2022-10-19,7.041
3174,First Man,2018-10-10,7.0
3175,Take Shelter,2011-09-30,7.041
3176,Radio Days,1987-01-30,7.0
3177,Salvador,1986-04-23,7.0
3178,Say Anything...,1989-04-14,7.041
3179,Face/Off,1997-06-27,7.041
3180,Love in the Afternoon,1957-05-29,7.04
3181,Cleopatra,1963-06-12,7.038
3182,Love at Second Sight,2019-01-18,7.039
3183,Marshland,2014-09-25,7.039
3184,"20,000 Leagues Under the Sea",1954-12-23,7.036
3185,The Spacewalker,2017-04-06,7.0
3186,At the End of the Tunnel,2016-04-21,7.038
3187,Brain on Fire,2017-02-22,7.038
3188,Monsters University,2013-06-19,7.0
3189,Radiofreccia,1998-10-16,7.0
3190,Kiss of the Spider Woman,1985-07-26,7.0
3191,Hocus Pocus,1993-07-16,7.038
3192,Ready or Not,2019-08-21,7.037
3193,Finding Dory,2016-06-16,7.037
3194,The Last Detail,1973-12-11,7.0
3195,Far from Heaven,2002-11-08,7.0
3196,Le Gendarme de Saint-Tropez,1964-09-08,7.0
3197,AINBO: Spirit of the Amazon,2021-02-09,7.0
3198,Warriors of Future,2022-08-05,7.0
3199,Waking Ned,1998-09-15,7.0
3200,The Lake House,2006-06-16,7.036
3201,Whitney Houston: I Wanna Dance with Somebody,2022-12-20,7.035
3202,Kung Fu Panda 2,2011-05-25,7.035
3203,The Accused,1988-10-14,7.0
3204,After We Fell,2021-09-01,7.034
3205,The Absent One,2014-10-02,7.033
3206,The Proposition,2005-10-06,7.034
3207,Luxo Jr.,1986-08-17,7.034
3208,Creed II,2018-11-21,7.032
3209,Futurama: Into the Wild Green Yonder,2009-02-23,7.033
3210,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,7.033
3211,The House,2022-01-14,7.032
3212,The Darkest Minds,2018-07-25,7.0
3213,Scoob!,2020-07-08,7.031
3214,Quest for Fire,1981-12-16,7.0
3215,Point Blank,1967-08-30,7.0
3216,Fright Night,1985-08-02,7.031
3217,Vacation Friends,2021-08-27,7.0
3218,Rose Island,2020-12-09,7.0
3219,The Zone of Interest,2023-12-15,7.03
3220,April and the Extraordinary World,2015-11-04,7.0
3221,The Parent Trap,1961-05-13,7.03
3222,Thirteen Days,2000-12-25,7.03
3223,Before the Fall,2004-07-04,7.0
3224,The Assassination of Jesse James by the Coward Robert Ford,2007-09-20,7.03
3225,Pieces of a Woman,2020-12-30,7.029
3226,Far from the Madding Crowd,2015-04-23,7.0
3227,The SpongeBob SquarePants Movie,2004-11-19,7.029
3228,Red Dragon,2002-10-02,7.029
3229,From Dusk Till Dawn,1996-01-19,7.029
3230,Sleeping Dogs,2024-03-21,7.025
3231,The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,7.0
3232,The French Dispatch,2021-10-21,7.028
3233,The Report,2019-09-12,7.028
3234,The Magnificent One,1973-11-23,7.0
3235,Howards End,1992-03-13,7.028
3236,Damsel,2024-03-07,7.026
3237,365 Days,2020-02-07,7.027
3238,X2,2003-04-27,7.027
3239,Knick Knack,1989-11-23,7.027
3240,A River Runs Through It,1992-10-09,7.027
3241,The End of the Tour,2015-07-31,7.026
3242,Gunfight at the O.K. Corral,1957-05-30,7.0
3243,SPY x FAMILY CODE: White,2023-12-22,7.0
3244,Malcolm & Marie,2021-01-29,7.0
3245,Uri: The Surgical Strike,2019-01-11,7.0
3246,Starstruck,2010-02-14,7.025
3247,Bedknobs and Broomsticks,1971-10-07,7.025
3248,Invincible,2006-08-25,7.025
3249,The Birdcage,1996-03-08,7.025
3250,Compartment No. 6,2021-10-29,7.024
3251,A Fantastic Woman,2017-04-06,7.024
3252,Amistad,1997-12-10,7.0
3253,Mutiny on the Bounty,1962-11-08,7.0
3254,Star Trek VI: The Undiscovered Country,1991-12-06,7.0
3255,The Fall Guy,2024-04-24,7.023
3256,The Adam Project,2022-03-11,7.023
3257,Bloodsport,1988-02-26,7.0
3258,An Officer and a Gentleman,1982-07-28,7.023
3259,Mary Shelley,2017-08-06,7.0
3260,The Animal Kingdom,2023-10-04,7.021
3261,Mortal Kombat,2021-04-07,7.021
3262,Return,1975-09-04,7.021
3263,Barney's Version,2010-10-26,7.021
3264,Speak,2004-01-20,7.021
3265,Wild at Heart,1990-08-17,7.021
3266,The Killing of a Sacred Deer,2017-10-20,7.02
3267,Brave,2012-06-21,7.02
3268,Benny & Joon,1993-04-16,7.0
3269,Vice,2018-12-25,7.019
3270,Truman,2015-09-24,7.019
3271,In the Loop,2009-01-22,7.019
3272,The Rainmaker,1997-11-18,7.0
3273,The Dead Zone,1983-10-21,7.0
3274,The Lover,1992-01-22,7.0
3275,The Last Black Man in San Francisco,2019-06-07,7.018
3276,Ip Man 3,2015-12-24,7.018
3277,Animal Farm,1954-12-28,7.016
3278,Willow,1988-05-20,7.018
3279,Ballerina,2023-10-05,7.0
3280,C'est la vie!,2017-10-04,7.017
3281,Blue Jay,2016-10-07,7.017
3282,Nerve,2016-06-27,7.017
3283,Le Havre,2011-09-08,7.017
3284,Pokémon: Lucario and the Mystery of Mew,2005-07-16,7.017
3285,Husbands and Wives,1992-09-18,7.0
3286,A Fall from Grace,2020-01-17,7.016
3287,My Neighbors the Yamadas,1999-07-17,7.0
3288,While You Were Sleeping,1995-04-21,7.0
3289,Lethal Weapon 2,1989-07-07,7.016
3290,Ladyhawke,1985-03-27,7.016
3291,Wild,2014-12-05,7.015
3292,Soul Surfer,2011-04-08,7.0
3293,Arlington Road,1999-03-19,7.0
3294,American Graffiti,1973-08-11,7.015
3295,Never Back Down: No Surrender,2016-06-07,7.0
3296,Lone Star,1996-06-21,7.0
3297,The Road,2009-11-25,7.014
3298,If Only,2004-01-23,7.014
3299,Police Story 2,1988-08-13,7.019
3300,"I'm a Cyborg, But That's OK",2006-12-07,7.0
3301,Emma.,2020-02-13,7.013
3302,Booksmart,2019-05-24,7.013
3303,Boy Erased,2018-09-24,7.0
3304,Don't Breathe,2016-06-08,7.013
3305,Saw,2003-10-16,7.0
3306,Barbie of Swan Lake,2003-09-27,7.0
3307,Double Trouble,1984-10-19,7.0
3308,Born on the Fourth of July,1989-12-20,7.0
3309,Eight Below,2006-02-17,7.01
3310,Ichi the Killer,2001-12-22,7.011
3311,Inland Empire,2006-12-06,7.011
3312,Batman: Bad Blood,2016-01-19,7.01
3313,Bad Lieutenant,1992-11-20,7.0
3314,Atlantis: The Lost Empire,2001-06-02,7.01
3315,The Towering Inferno,1974-12-14,7.01
3316,Bambi,1942-08-14,7.01
3317,The Invisible Witness,2018-12-13,7.009
3318,"Extremely Wicked, Shockingly Evil and Vile",2019-05-02,7.009
3319,Eye in the Sky,2015-09-07,7.009
3320,Suck Me Shakespeer,2013-11-07,7.009
3321,Chasing Mavericks,2012-10-25,7.0
3322,Fort Apache,1948-05-21,7.0
3323,Dragon Ball Z: Cooler's Revenge,1991-07-20,7.009
3324,The Simpsons Movie,2007-07-25,7.009
3325,The Enforcer,2022-09-22,7.008
3326,Martin Eden,2019-09-04,7.008
3327,An American in Paris,1951-09-26,7.008
3328,The High Note,2020-06-10,7.007
3329,The Invisibles,2019-01-09,7.007
3330,Dreamer: Inspired By a True Story,2005-09-10,7.0
3331,Manhunter,1986-08-14,7.007
3332,Buffet Froid,1979-12-19,7.006
3333,The Little Girl Who Lives Down the Lane,1976-12-25,7.0
3334,Rounders,1998-09-11,7.006
3335,Matchstick Men,2003-09-12,7.006
3336,One Night in Miami...,2020-12-25,7.005
3337,Timecrimes,2007-11-01,7.005
3338,The Great Train Robbery,1903-12-07,7.005
3339,The King of Staten Island,2020-07-22,7.003
3340,The Death of Stalin,2017-10-20,7.003
3341,Anplagghed al Cinema,2006-11-26,7.0
3342,Pretty Baby,1978-04-05,7.0
3343,Barbie as Rapunzel,2002-10-01,7.0
3344,Stargate,1994-10-28,7.004
3345,Strange Days,1995-10-13,7.004
3346,Dolemite Is My Name,2019-10-04,7.003
3347,The World to Come,2021-02-12,7.0
3348,The Post,2017-12-22,7.003
3349,Letters to Juliet,2010-05-13,7.003
3350,Junkyard Dog,2023-04-19,7.0
3351,I See You,2019-09-11,7.002
3352,The Legendary Giulia and Other Miracles,2015-02-19,7.0
3353,The Dressmaker,2015-10-29,7.002
3354,X-Men,2000-07-13,7.001
3355,The Fly,1958-07-16,6.995
3356,Pusher,1996-08-30,7.0
3357,The Medium,2021-07-14,7.001
3358,Labor Day,2013-12-27,7.001
3359,Ghajini,2008-12-25,7.0
3360,Scream VI,2023-03-08,6.999
3361,Secret Magic Control Agency,2021-03-18,7.0
3362,The Odd Life of Timothy Green,2012-08-15,6.999
3363,Dumbo,1941-10-31,6.999
3364,The Italian Job,1969-06-02,6.999
3365,Captain America: The First Avenger,2011-07-22,6.999
3366,Miss Violence,2013-09-09,7.002
3367,The Changeling,1980-03-28,7.0
3368,Powder,1995-10-27,6.998
3369,Holidate,2020-10-27,6.997
3370,The Princess Switch,2018-10-25,6.997
3371,The First Time,2012-10-19,7.0
3372,Frankenweenie,2012-10-04,6.997
3373,Megamind,2010-10-28,6.998
3374,The Way Back,2010-11-22,6.996
3375,The Swimming Pool,1969-01-31,6.996
3376,The Constant Gardener,2005-08-31,6.996
3377,22 vs. Earth,2021-04-30,7.0
3378,Trouble with the Curve,2012-09-21,6.995
3379,Trick 'r Treat,2007-12-09,6.995
3380,Orphan,2009-07-24,7.0
3381,The Full Monty,1997-08-13,6.994
3382,Naked Lunch,1991-12-27,7.0
3383,This Must Be the Place,2011-08-24,6.994
3384,The Tall Blond Man with One Black Shoe,1972-12-06,6.994
3385,Project Silence,2024-07-11,6.993
3386,First Reformed,2018-05-18,6.993
3387,10 Cloverfield Lane,2016-03-10,6.993
3388,Shazam!,2019-03-29,6.994
3389,Barbie: The Pearl Princess,2014-02-15,7.0
3390,The Kings of Summer,2013-01-19,7.0
3391,Oliver!,1968-09-26,7.0
3392,Get Carter,1971-02-03,6.993
3393,Cars,2006-06-08,6.993
3394,The Duke,2021-07-23,7.0
3395,The Walk,2015-09-30,7.0
3396,Tetsuo: The Iron Man,1989-07-01,6.992
3397,The Girl Who Played with Fire,2009-09-18,6.993
3398,Cool Runnings,1993-10-01,7.0
3399,The Photographer of Mauthausen,2018-10-26,6.991
3400,Barbie: Spy Squad,2016-01-15,6.991
3401,Comment c'est loin,2015-12-09,7.0
3402,Justice League: Throne of Atlantis,2015-01-13,6.991
3403,ParaNorman,2012-08-03,6.991
3404,Agora,2009-05-17,6.99
3405,A Goofy Movie,1995-04-07,7.0
3406,The Duchess,2008-09-05,6.991
3407,Mission: Impossible,1996-05-22,6.992
3408,Saltburn,2023-11-16,6.99
3409,Chip 'n Dale: Rescue Rangers,2022-05-20,6.99
3410,The Wolf Man,1941-12-12,6.99
3411,The Trouble with Harry,1955-10-03,7.0
3412,Me and You and Everyone We Know,2005-06-17,6.99
3413,Blue Jasmine,2013-08-01,6.989
3414,Shallow Grave,1994-12-22,6.989
3415,Living,2022-11-04,6.988
3416,Chicken Run: Dawn of the Nugget,2023-12-08,7.0
3417,Holy Motors,2012-07-02,6.988
3418,The Guard,2011-07-07,6.988
3419,Mickey's Twice Upon a Christmas,2004-11-15,7.0
3420,Groot's First Steps,2022-08-10,6.987
3421,Toy Story That Time Forgot,2014-12-02,6.987
3422,Zero Dark Thirty,2012-12-19,6.987
3423,Certified Copy,2010-05-19,7.0
3424,Safe,1995-06-23,7.0
3425,Sexy Beast,2000-09-13,6.987
3426,Go,1999-04-09,6.987
3427,Revolutionary Road,2008-12-19,6.987
3428,The Science of Sleep,2006-06-25,7.0
3429,Fresh,2022-03-03,6.987
3430,Five,2016-03-30,7.0
3431,Kung Fu Panda Holiday,2010-11-26,6.986
